id,common_name,scientific_name,care
perennial:veronica,Speedwell,Veronica spicata,"Full sun; moderate water. Compact habit with long bloom time."
perennial:hellebore,Hellebore,Helleborus orientalis,"Partial to full shade; moderate moisture. Early spring blooms."
perennial:jacobs_ladder,Jacob’s Ladder,Polemonium caeruleum,"Partial shade; moderate water. Prefers cooler conditions."
perennial:hardy_hibiscus,Hardy Hibiscus,Hibiscus moscheutos,"Full sun; high moisture. Large blooms; late to emerge in spring."
perennial:toad_lily,Toad Lily,Tricyrtis hirta,"Partial to full shade; consistent moisture. Blooms late season."
perennial:blue_star,Blue Star,Amsonia hubrichtii,"Full sun to partial shade; moderate water. Excellent fall color."
perennial:cardinal_flower,Cardinal Flower,Lobelia cardinalis,"Full sun to partial shade; consistent moisture. Attracts hummingbirds."
perennial:yucca,Yucca,Yucca filamentosa,"Full sun; low water. Extremely drought tolerant once established."
perennial:anemone,Japanese Anemone,Anemone hupehensis,"Partial shade to sun; moderate moisture. Blooms late summer to fall and spreads slowly."
perennial:baptisia,False Indigo,Baptisia australis,"Full sun; low water once established. Long-lived native with deep roots."
perennial:bergenia,Bergenia,Bergenia cordifolia,"Partial shade; moderate moisture. Thick evergreen leaves and early spring flowers."
perennial:brunnera,Brunnera,Brunnera macrophylla,"Partial to full shade; moderate moisture. Grown for heart-shaped foliage and spring blooms."
perennial:calamint,Calamint,Calamintha nepeta,"Full sun; low to moderate water. Compact, aromatic plant with long bloom period."
perennial:campanula,Bellflower,Campanula persicifolia,"Full sun to partial shade; moderate water. Upright habit with bell-shaped flowers."
perennial:delosperma,Ice Plant,Delosperma cooperi,"Full sun; very low water. Requires excellent drainage; drought tolerant groundcover."
perennial:epimedium,Barrenwort,Epimedium spp.,"Partial to full shade; moderate moisture. Excellent dry-shade groundcover."
perennial:euphorbia,Spurge,Euphorbia polychroma,"Full sun to partial shade; low to moderate water. Wear gloves—sap may irritate skin."
perennial:gaura,Gaura,Oenothera lindheimeri,"Full sun; low to moderate water. Long blooming with airy flower habit."
perennial:heliopsis,Oxeye Sunflower,Heliopsis helianthoides,"Full sun; moderate water. Long blooming native with daisy-like flowers."
perennial:heuchera_x,Heucherella,Heucherella spp.,"Partial shade; moderate moisture. Hybrid foliage plant with varied leaf colors."
perennial:hibiscus_rose_mallow,Rose Mallow,Hibiscus moscheutos,"Full sun; consistent moisture. Large flowers and late spring emergence."
perennial:kniphofia,Red Hot Poker,Kniphofia uvaria,"Full sun; moderate water. Needs good drainage and winter protection in colder areas."
perennial:lungwort,Lungwort,Pulmonaria spp.,"Partial shade; consistent moisture. Early spring blooms with spotted foliage."
perennial:monkshood,Monkshood,Aconitum napellus,"Partial shade; consistent moisture. Toxic if ingested; avoid handling bare-handed."
perennial:ornamental_thyme,Ornamental Thyme,Thymus serpyllum,"Full sun; low water. Low-growing, fragrant groundcover."
perennial:plumbago,Plumbago,Ceratostigma plumbaginoides,"Full sun to partial shade; moderate water. Excellent blue flowers and fall color."
perennial:prairie_smoke,Prairie Smoke,Geum triflorum,"Full sun; low water. Native prairie plant with unique seed heads."
perennial:sanguisorba,Burnet,Sanguisorba officinalis,"Full sun to partial shade; moderate water. Unique bottlebrush flowers."
perennial:silphium,Cup Plant,Silphium perfoliatum,"Full sun; moderate moisture. Tall native with large leaves that collect water."
perennial:sneezeweed,Sneezeweed,Helenium autumnale,"Full sun; moderate water. Late-season bloomer for fall color."
perennial:soapwort,Soapwort,Saponaria officinalis,"Full sun; moderate water. Spreading perennial with soft pink flowers."
perennial:spiderwort,Spiderwort,Tradescantia virginiana,"Full sun to partial shade; moderate moisture. Blooms best in morning sun."
perennial:toadlily,Toad Lily,Tricyrtis hirta,"Partial to full shade; consistent moisture. Late-blooming shade perennial."
perennial:veronicastrum,Culver’s Root,Veronicastrum virginicum,"Full sun to partial shade; moderate moisture. Tall native with elegant flower spikes."
perennial:vervain,Blue Vervain,Verbena hastata,"Full sun; moderate moisture. Native perennial attractive to pollinators."
perennial:zizia,Golden Alexander,Zizia aurea,"Full sun to partial shade; moderate moisture. Native spring-blooming perennial."
perennial:lupine,Lupine,Lupinus polyphyllus,"Full sun; moderate moisture. Prefers cooler conditions and well-drained soil."
perennial:lady_mantle,Lady’s Mantle,Alchemilla mollis,"Full sun to partial shade; moderate moisture. Grown for soft foliage and chartreuse flowers."
perennial:ajuga,Ajuga,Bugleweed,"Partial shade to sun; moderate moisture. Low-growing groundcover that spreads easily."
perennial:artemisia,Artemisia,Artemisia schmidtiana,"Full sun; low water. Silvery foliage; prefers dry, well-drained soil."
perennial:black_cohosh,Black Cohosh,Actaea racemosa,"Partial shade; consistent moisture. Tall native perennial for woodland gardens."
perennial:blue_fescue,Blue Fescue,Festuca glauca,"Full sun; low water. Compact ornamental grass with blue foliage."
perennial:oriental_poppy,Oriental Poppy,Papaver orientale,"Full sun; moderate water. Blooms in spring, foliage dies back in summer."
perennial:solomons_seal,Solomon’s Seal,Polygonatum odoratum,"Partial to full shade; moderate moisture. Arching stems with spring flowers."
perennial:sweet_woodruff,Sweet Woodruff,Galium odoratum,"Full to partial shade; moderate moisture. Fragrant groundcover for shade."
perennial:vinca,Vinca,Vinca minor,"Partial to full shade; low to moderate water. Evergreen groundcover that spreads."
perennial:wild_ginger,Wild Ginger,Asarum canadense,"Full to partial shade; consistent moisture. Native groundcover for woodland areas."
perennial:rose_campion,Rose Campion,Lychnis coronaria,"Full sun; low to moderate water. Silvery foliage with bright blooms."
perennial:mondo_grass,Mondo Grass,Ophiopogon japonicus,"Partial shade; moderate moisture. Grass-like perennial often used as edging."
perennial:meadow_rue,Meadow Rue,Thalictrum aquilegiifolium,"Partial shade; moderate moisture. Airy flowers and delicate foliage."
perennial:bugbane,Bugbane,Cimicifuga simplex,"Partial shade; consistent moisture. Late-season blooms and strong vertical interest."
perennial:stokes_aster,Stokes’ Aster,Stokesia laevis,"Full sun; moderate water. Large blue flowers and long bloom period."
perennial:helianthemum,Rose Rock,Cistus helianthemum,"Full sun; low water. Requires excellent drainage; drought tolerant."
perennial:ice_plant,Hardy Ice Plant,Delosperma cooperi,"Full sun; very low water. Groundcover for hot, dry locations."
perennial:barberry_groundcover,Barren Strawberry,Waldsteinia ternata,"Partial to full shade; moderate moisture. Evergreen groundcover with yellow spring flowers."
perennial:campion_white,White Campion,Silene latifolia,"Full sun to partial shade; moderate water. Cottage-garden style bloomer."
perennial:alcea,Hollyhock,Alcea rosea,"Full sun; moderate water. Tall spikes of flowers; watch for rust disease."
perennial:armeria,Sea Thrift,Armeria maritima,"Full sun; low to moderate water. Compact plant with grass-like foliage."
perennial:boltonia,Boltonia,Boltonia asteroides,"Full sun; moderate moisture. Late-season daisy-like flowers."
perennial:ceratostigma,Hardy Plumbago,Ceratostigma plumbaginoides,"Full sun to partial shade; moderate water. Blue flowers and red fall foliage."
perennial:chives_flowering,Flowering Chives,Allium schoenoprasum,"Full sun; moderate water. Edible foliage and ornamental purple blooms."
perennial:columbine_hybrid,Hybrid Columbine,Aquilegia hybrids,"Partial shade; moderate moisture. Common spring perennial in garden centers."
perennial:corydalis,Corydalis,Corydalis lutea,"Partial shade; moderate moisture. Long-blooming shade perennial."
perennial:dicentra_bleeding,Old-fashioned Bleeding Heart,Lamprocapnos spectabilis,"Partial shade; moderate moisture. Spring bloomer that goes dormant in summer."
perennial:eryngium_flat,Flat Sea Holly,Eryngium planum,"Full sun; low water. Architectural plant with blue-toned flowers."
perennial:gaillardia_hybrid,Hybrid Blanket Flower,Gaillardia hybrids,"Full sun; low water. Heat tolerant with long bloom season."
perennial:helenium_hybrid,Hybrid Helenium,Helenium hybrids,"Full sun; moderate moisture. Reliable late-summer bloomer."
perennial:heuchera_foliage,Foliage Heuchera,Heuchera cultivars,"Partial shade; moderate moisture. Very popular for colorful foliage."
perennial:hibiscus_perennial,Perennial Hibiscus,Hibiscus moscheutos,"Full sun; high moisture. Large blooms and strong retail appeal."
perennial:lysimachia_gold,Golden Creeping Jenny,Lysimachia nummularia 'Aurea',"Full sun to partial shade; moderate moisture. Bright chartreuse groundcover."
perennial:monarda_hybrid,Hybrid Bee Balm,Monarda hybrids,"Full sun to partial shade; moderate moisture. Mildew-resistant cultivars common."
perennial:nepeta_catmint,Catmint,Nepeta hybrids,"Full sun; low water. Long blooming and widely stocked."
perennial:osteospermum_hardy,African Daisy (Hardy types),Osteospermum hybrids,"Full sun; moderate water. Often sold with perennials in Midwest centers."
perennial:persicaria_red,Red Persicaria,Persicaria amplexicaulis,"Full sun to partial shade; consistent moisture. Long bloom period."
perennial:phlox_tall_garden,Tall Garden Phlox,Phlox paniculata hybrids,"Full sun; moderate moisture. Popular midsummer bloomer."
perennial:rudbeckia_hybrid,Hybrid Rudbeckia,Rudbeckia hybrids,"Full sun; moderate water. Extremely common retail perennial."
perennial:sedum_upright,Upright Sedum,Hylotelephium spectabile,"Full sun; low water. Fall color and structure."
perennial:stipa_feather,Feather Grass,Stipa tenuissima,"Full sun; low water. Soft ornamental grass used in mixed planters."
perennial:tansy,Tansy,Tanacetum vulgare,"Full sun; low to moderate water. Aromatic foliage and button flowers."
perennial:thalictrum,Meadow Rue,Thalictrum spp.,"Partial shade; moderate moisture. Airy flowers and fine foliage."
perennial:verbena_groundcover,Groundcover Verbena,Verbena canadensis,"Full sun; moderate water. Spreading habit with summer flowers."
perennial:veronica_spike,Spike Speedwell,Veronica spicata hybrids,"Full sun; moderate water. Upright flower spikes and compact habit."
perennial:viola_hybrid,Hybrid Viola,Viola hybrids,"Full sun to partial shade; moderate moisture. Spring and fall interest."
perennial:yucca_variegated,Variegated Yucca,Yucca filamentosa 'Color Guard',"Full sun; low water. Structural foliage with high drought tolerance."
perennial:aster_fall,Fall Aster,Symphyotrichum hybrids,"Full sun; moderate water. Reliable late-season bloomer and pollinator favorite."
perennial:balloon_flower_blue,Balloon Flower (Blue),Platycodon grandiflorus,"Full sun to partial shade; moderate water. Slow to emerge but very durable."
perennial:bergenia_pigsqueak,Pigsqueak,Bergenia cordifolia,"Partial shade; moderate moisture. Thick foliage with early spring blooms."
perennial:campanula_carpathian,Carpathian Bellflower,Campanula carpatica,"Full sun to partial shade; moderate water. Compact and long blooming."
perennial:chrysanthemum_garden,Garden Mum,Chrysanthemum hybrids,"Full sun; moderate water. Classic fall perennial; pinch early for compact growth."
perennial:cleome_hardy,Hardy Cleome,Cleome serrulata,"Full sun; moderate water. Upright habit with airy flowers."
perennial:coreopsis_moonbeam,Coreopsis ‘Moonbeam’,Coreopsis verticillata,"Full sun; low water. Extremely popular long-blooming perennial."
perennial:delosperma_hardy,Hardy Ice Plant,Delosperma cooperi,"Full sun; very low water. Groundcover for hot, dry sites."
perennial:echinacea_hybrid,Hybrid Coneflower,Echinacea hybrids,"Full sun; moderate water. Widely sold in many colors."
perennial:festuca_blue,Blue Fescue,Festuca glauca,"Full sun; low water. Compact ornamental grass often used as edging."
perennial:geranium_rozanne,Geranium ‘Rozanne’,Geranium hybrid,"Full sun to partial shade; moderate water. Very long blooming and extremely common."
perennial:helenium_autumn,Fall Sneezeweed,Helenium autumnale,"Full sun; moderate moisture. Late summer to fall color."
perennial:hibiscus_hardy_white,Hardy Hibiscus (White),Hibiscus moscheutos,"Full sun; consistent moisture. Large blooms with strong retail appeal."
perennial:iris_bearded,Bearded Iris,Iris germanica,"Full sun; moderate water. Plant rhizomes shallow for best performance."
perennial:lambs_ear_silver,Silver Lamb’s Ear,Stachys byzantina,"Full sun; low water. Soft foliage and drought tolerant."
perennial:liatris_purple,Liatris,Liatris spicata,"Full sun; moderate water. Upright spikes and pollinator friendly."
perennial:monarda_red,Red Bee Balm,Monarda didyma,"Full sun to partial shade; moderate moisture. Mildew-resistant varieties common."
perennial:ornamental_sedge,Ornamental Sedge,Carex oshimensis,"Partial shade; moderate moisture. Grass-like perennial for containers and borders."
perennial:penstemon_husker,Husker Red Penstemon,Penstemon digitalis,"Full sun; moderate water. Popular cultivar with dark foliage."
perennial:phlox_creeping_pink,Creeping Phlox (Pink),Phlox subulata,"Full sun; low to moderate water. Spring groundcover staple."
perennial:rudbeckia_gold,Black-eyed Susan ‘Goldsturm’,Rudbeckia fulgida,"Full sun; moderate water. One of the most common perennials sold."
perennial:salvia_caradonna,Salvia ‘Caradonna’,Salvia nemorosa,"Full sun; moderate water. Upright habit and strong repeat bloom."
perennial:sedum_autumnjoy,Autumn Joy Sedum,Hylotelephium spectabile,"Full sun; low water. Extremely common fall perennial."
perennial:spirea_blue_mist,Blue Mist Spirea,Caryopteris x clandonensis,"Full sun; low to moderate water. Woody perennial often sold with perennials."
perennial:veronica_royal,Veronica ‘Royal Candles’,Veronica spicata,"Full sun; moderate water. Compact habit and strong retail seller."
perennial:yarrow_red,Red Yarrow,Achillea millefolium,"Full sun; low water. Widely available in mixed colors."
